id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
13079154,"WORK, PLAY, STAY!  Nature & Urban Vitality.",17264703,Old Town/Chinatown,45.52751,-122.67091,Entire home/apt,85,30,75,174
13084184,High End Downtown Condo with River View,378901,Portland Downtown,45.50824,-122.67161999999999,Entire home/apt,250,30,1,363
13483162,"Paradise in Downtown Portland, OR",75800876,Portland Downtown,45.5112,-122.68056999999999,Entire home/apt,60,30,14,102
13584288,Portland City Center - In the Middle of It All,78425774,Old Town/Chinatown,45.52722,-122.67523,Private room,75,3,74,87
13799741,The Historic Hafner Haus- 9 Bedrooms+Meeting Space,8207605,Portland Downtown,45.516459999999995,-122.68621,Entire home/apt,790,2,21,246
13941818,VIEW  750sqft One Bedroom Loft - Pearl District,286884,Pearl,45.5251,-122.68105,Entire home/apt,125,90,7,357
14852770,"""Dahlia's Place""    Historic City Center TOP Floor",28688984,Portland Downtown,45.50855,-122.68328999999999,Entire home/apt,147,2,107,143
15113378,"Parking, public transit.  PSU, OHSU, waterfront!",50536855,Portland Downtown,45.50962,-122.68053,Entire home/apt,97,30,13,295
15146074,"Silver Falls Suite  - Large 2BR, Great location",67810155,Lloyd District,45.53403,-122.65666,Entire home/apt,176,1,118,316
15496107,Pearl District Condo-Prime Location! Free Parking,25596073,Pearl,45.53235,-122.68202,Entire home/apt,99,30,16,363
16054149,Portland Urban Condo close to PSU,21461223,Portland Downtown,45.511,-122.68026,Entire home/apt,100,31,7,269
16162950,Spacious waterfront condo with free parking,104250962,Old Town/Chinatown,45.52959,-122.67535,Entire home/apt,100,30,256,59
16314330,"Modern 1 bdrm, parking & hot tub",64919481,Pearl,45.53139,-122.67539,Entire home/apt,149,30,57,0
16568420,Waterfront Pearl Modern Large Home Away From Home,109143261,Old Town/Chinatown,45.53018,-122.67226000000001,Entire home/apt,163,30,2,365
16702446,Sun-filled River Front Studio,56909996,Portland Downtown,45.50999,-122.67358,Entire home/apt,60,30,8,252
16932323,"Contemporary Condo, Urban Heart of Portland",108572320,Goose Hollow,45.52261,-122.69937,Entire home/apt,62,30,28,305
17186485,Luxury downtown dog-friendly condo w/ West Hills views! Business-friendly!,112445005,Portland Downtown,45.52032,-122.68011000000001,Entire home/apt,184,1,23,365
17186487,"Elegant, dog-friendly downtown condo with wrap-around views!",112445005,Portland Downtown,45.51918,-122.68054,Entire home/apt,246,1,18,364
17186490,City views! Easy access to downtown- great for work trips! Dogs welcome!,112445005,Portland Downtown,45.51826,-122.68141999999999,Entire home/apt,185,1,23,365
17186491,Chic studio-style condo downtown w/ city views - dogs OK!,112445005,Portland Downtown,45.51981,-122.6803,Entire home/apt,166,1,20,354
17186494,Bring your dog to downtown Portland and amazing highrise views!,112445005,Portland Downtown,45.5189,-122.68061999999999,Entire home/apt,182,1,24,359
17186502,"Gorgeous, dog-friendly downtown Portland condo w/ city views!",112445005,Portland Downtown,45.51893,-122.68223,Entire home/apt,192,1,18,365
17186503,"Upscale, dog-friendly condo at Park Avenue West w/ great views & new furnishings",112445005,Portland Downtown,45.51894,-122.6816,Entire home/apt,184,1,23,359
17186504,"Park Avenue West condo w/ city views, close to shopping/dining, dog-friendly!",112445005,Portland Downtown,45.51898,-122.68077,Entire home/apt,192,1,39,356
17186506,"Modern, dog-friendly retreat in the heart of downtown Portland!",112445005,Portland Downtown,45.51846,-122.68151,Entire home/apt,193,1,8,364
17186509,Dog-friendly condo w/ views of downtown! Great for couples or work trips!,112445005,Portland Downtown,45.5199,-122.6808,Entire home/apt,239,1,31,365
17911203,Modern Two-Story Condo Downtown!,122778455,Portland Downtown,45.51563,-122.68633999999999,Entire home/apt,89,30,18,211
18359810,Pearl District Waterfront Condo w/parking,24557207,Old Town/Chinatown,45.529509999999995,-122.67383999999998,Entire home/apt,105,30,2,362
18595135,Spacious 2Bdr in the Pearl District!,128135713,Pearl,45.52936,-122.68395,Entire home/apt,260,1,207,264
19097543,White Canopy Bed at Gorgeous Historic Mansion!,133105495,Goose Hollow,45.52091,-122.69899,Private room,150,2,36,108
19570342,Comfy Condo Downtown Portland 97201 Extended Stay,21288777,Portland Downtown,45.515240000000006,-122.68692,Entire home/apt,72,31,6,88
19587893,Attic in The Pearl,137684755,Pearl,45.52468,-122.68505,Private room,150,2,114,88
19592316,Luxurious Park Avenue West Downtown Condo,4962900,Portland Downtown,45.51999,-122.68203000000001,Entire home/apt,999,30,41,265
19592382,Chic and Close to Everything in Downtown Condo,4962900,Portland Downtown,45.518570000000004,-122.68163999999999,Entire home/apt,999,30,43,279
20072604,Ahoy There Matey,1623011,Portland Downtown,45.51055,-122.67549,Entire home/apt,88,2,21,90
20761085,Sweet and Central Downtown One Bedroom,148706923,Portland Downtown,45.51545,-122.68471000000001,Entire home/apt,125,1,170,165
20761234,Downtown Vintage One Bedroom,148706239,Portland Downtown,45.51526,-122.68659,Entire home/apt,125,1,170,171
21307312,LIVE IN THE HEART OF THE PEARL DISTRICT!,154205695,Pearl,45.53092,-122.67971999999999,Entire home/apt,60,30,0,363
21425869,"Upscale “Pearl Pad”.  Great location, view, fun!",10218720,Pearl,45.53269,-122.68036000000001,Entire home/apt,160,31,0,195
21485070,Waterfront Condo,6746569,Old Town/Chinatown,45.52689,-122.67156000000001,Entire home/apt,75,30,6,338
21517694,Bright Contemporary Loft in The Pearl,156366214,Pearl,45.52707,-122.68251000000001,Entire home/apt,117,31,3,304
21537748,Million-Dollar River View: light-filled downtown,156366214,Portland Downtown,45.51024,-122.67555,Entire home/apt,117,31,0,237
21650064,Downtown One Bedroom Condo In Historic Building,25190618,Portland Downtown,45.51495,-122.68524,Entire home/apt,90,30,8,164
21684502,Canopy bed in the Historic MacMaster House,133105495,Goose Hollow,45.5201,-122.69825,Private room,80,2,22,0
21785357,Heart of the Pearl - 11th Floor Executive Suite,2203745,Pearl,45.525240000000004,-122.67926999999999,Entire home/apt,110,30,3,304
22214770,High Rise Condo in Downtown w/Free Secure Parking,162323260,Portland Downtown,45.50998,-122.67851,Entire home/apt,68,30,55,203
