id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
11134954,Artist loft in Arbor Lodge,57864996,Scott,Arbor Lodge,45.574621959667,-122.69200854819513,Entire home/apt,90,21,1,333
12269002,Sweet North Portland bungalow.,66084059,Annie,Arbor Lodge,45.574117915522365,-122.69466329916814,Entire home/apt,100,6,1,0
3584939,1920's Charmer in Arbor Lodge,7097644,Kelly,Arbor Lodge,45.571681606881135,-122.69601729839891,Entire home/apt,120,47,1,85
16456473,Design and Quality in North Portland,5106495,Matthew,Arbor Lodge,45.57287390299033,-122.69263269294973,Entire home/apt,150,1,1,58
7743660,Spacious Apartment in Arbor Lodge,20590539,Zach,Arbor Lodge,45.56960819596304,-122.69311586861757,Entire home/apt,70,57,1,365
10313299,Portland's Arbor Lodge one bed,52139625,Brian,Arbor Lodge,45.572801673759784,-122.69864107145963,Entire home/apt,99,20,1,341
2569391,Portland-1000sf basement apt./queen,12807678,Tanja,Arbor Lodge,45.5728292078029,-122.6888766140097,Entire home/apt,79,229,3,46
9254568,The Craftsman on Curtis - 2bd + 1 den HM.,43717096,Ken,Arbor Lodge,45.56788034469066,-122.69773333921913,Entire home/apt,120,87,1,336
13516828,North Portland House with Hot tub,66299573,Renae,Arbor Lodge,45.575723255877456,-122.7047625211912,Entire home/apt,280,5,1,0
531232,Spacious basement bedroom,2609280,Marty,Arbor Lodge,45.57707162508935,-122.6960628738501,Entire home/apt,70,69,1,363
413956,Beautiful 3 Bedroom 1920 Bungalow,1099616,Abraham,Arbor Lodge,45.56699293382699,-122.67936047797994,Entire home/apt,159,110,2,355
4483736,"Cozy, bright, spacious studio house",17225282,Jay,Arbor Lodge,45.57410433385324,-122.690725201089,Entire home/apt,99,8,1,36
303758,"Cozy - Two Bedroom, Arbor Lodge",1309818,Heather,Arbor Lodge,45.57223015752291,-122.68772959365394,Entire home/apt,58,30,1,14
9731376,Little Russian Art Studio,50214783,Bree,Arbor Lodge,45.568425236892516,-122.68733226094605,Entire home/apt,87,9,1,82
1918952,"Leafy, Private First Floor Getaway ",4452894,Aaron & Alicia (& Sylvia & Elijah),Arbor Lodge,45.572977746494516,-122.68878514272821,Entire home/apt,95,26,1,89
2220926,Bright Vintage Modern Home,927820,Adam,Arbor Lodge,45.56899544607757,-122.6871590811388,Entire home/apt,135,12,1,223
7309532,El Rancho,6010923,Nate,Arbor Lodge,45.57102180716455,-122.69556305262769,Entire home/apt,100,0,1,0
3230208,"3200' home -2 Kings, Queen, Single",12807678,Tanja,Arbor Lodge,45.57287967871468,-122.68923270582384,Entire home/apt,295,12,3,37
12905000,Cute Home Near Light Rail,333173,Kathy,Arbor Lodge,45.573654013162326,-122.68466559556349,Entire home/apt,63,4,2,13
13417668,Greeley Guesthouse,2050598,Jessica,Arbor Lodge,45.56900426006124,-122.6931529045415,Private room,65,13,1,365
10673527,Sunny room near U of Portland,9464556,Gail,Arbor Lodge,45.57694632180821,-122.70178394274151,Private room,54,46,1,348
15411427,Arbor Lodge Guest House - Wanderer's Delight Room,76940848,Natasha,Arbor Lodge,45.56857104560813,-122.69828592374856,Private room,55,4,3,90
13283504,Two bedrooms with private bath.,39022970,Ed & Ann,Arbor Lodge,45.567431747775956,-122.68568938438877,Private room,100,5,2,90
15411232,Arbor Lodge Guest House - The Sun Room,76940848,Natasha,Arbor Lodge,45.57052285948791,-122.69865204585341,Private room,55,1,3,62
9712130,Comfort and convenience with private bath.,39022970,Ed & Ann,Arbor Lodge,45.56843756809522,-122.68499069732607,Private room,55,8,2,180
67532,Friendly Room in N. Portland,333173,Kathy,Arbor Lodge,45.570999392132244,-122.68367773356717,Private room,45,98,2,309
7402080,Cozy Close-in North Portland Studio,2023949,Anna,Arbor Lodge,45.56912900804547,-122.69096771212078,Entire home/apt,65,97,1,179
9631880,Charming Hideaway in Arbor Lodge,596414,Travis,Arbor Lodge,45.568283294301175,-122.68782958176205,Private room,44,5,1,340
11236812,North Portland Bungalow,16297531,Jodie,Arbor Lodge,45.57296125861691,-122.70173425570246,Entire home/apt,150,1,1,0
3907176,Urban Creative Two-story,7523938,Hannah & Cameron,Arbor Lodge,45.575839071970975,-122.70168065920272,Entire home/apt,78,6,2,86
14524327,Arbor Lodge Guest House - The Writer's Room,76940848,Natasha,Arbor Lodge,45.57002728017697,-122.69958037941795,Private room,55,1,3,80
4977675,Colorful Queen With a Private Bath,16017684,Jessie,Arbor Lodge,45.566868670709326,-122.68448540822888,Private room,49,42,1,174
13859584,Cozy basement suite in quiet Arbor Lodge home,5767401,Jocelyn,Arbor Lodge,45.570947068820495,-122.68375879771929,Private room,45,15,1,92
4512938,Bud & Breakfast,13611696,John,Arbor Lodge,45.57526380388467,-122.69612078369398,Private room,54,33,3,90
13297550,Private Room Inner NE - Keep PDX Weird Bungalow,27868709,Alanna,King,45.54987065276229,-122.6582634394956,Private room,65,0,2,365
699605,Adorable Alberta Arts Bungalow,2605790,Amanda & Sebastien,King,45.56436166086922,-122.65724493664058,Entire home/apt,150,39,1,365
