id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
634279,Overlook Mid Century Garden Home,3159169,Reenie,Overlook,45.560559999999995,-122.68926,Private room,70,206,2
635432,Spacious SW Portland 1 bd Apartment,3166372,Alexandra,Bridlemile,45.49028,-122.72214,Entire home/apt,99,88,1
637011,"Eclectic, cheerful, musical home",1810476,Susan,Multnomah,45.465540000000004,-122.71443000000001,Private room,45,16,2
637362,"Quaint & Cozy, Private Sellwood Guest House",869146,Gina And Andy,Sellwood-Moreland Improvement League,45.46563,-122.65573,Entire home/apt,78,236,1
646263,Ashley's charmer just off SE Division near cafes,2965830,Ashley,Richmond,45.507020000000004,-122.63513999999999,Private room,55,484,2
658883,Food Lovers Dream in Designer House,2458289,Emily,King,45.549640000000004,-122.6631,Private room,88,144,1
674866,Fantastic Loft in the Pearl (short or long term),1731137,Stephanie,Pearl,45.526140000000005,-122.68224,Entire home/apt,175,9,2
675803,inner SE/ Hawthorne -minimum,3425231,Kit,Sunnyside,45.51235,-122.62177,Private room,35,33,2
677865,Lovely Art Filled Close-in Bungalow,1972773,Cynthia,King,45.56516,-122.6577,Private room,58,314,1
687927,"Heart on Hawthorne ,  SE Portland",3425231,Kit,Sunnyside,45.513329999999996,-122.62176000000001,Private room,40,150,2
692488,Classic Northwest Villa,3541177,Jerry,Hillside,45.52753,-122.70685,Entire home/apt,93,348,1
696955,Alberta Arts House - Hip Portlandia,3569549,Ash,Vernon,45.55851,-122.64639,Entire home/apt,200,98,1
699605,Adorable Alberta Arts Bungalow,2605790,Amanda & Sebastien,King,45.56436,-122.65723999999999,Entire home/apt,150,45,1
699667,Old Portland Style 2 Story House,3589314,Nicole,Sellwood-Moreland Improvement League,45.46818,-122.65251,Private room,65,90,1
700371,Adorable historic home in Foodie Wonderland,2965830,Ashley,Richmond,45.50613,-122.63533000000001,Entire home/apt,175,57,2
704753,OHSU. Clean Bonus Room w Shared Bath.,3190134,Jen,Hillsdale,45.488929999999996,-122.69248999999999,Private room,80,10,2
714773,ArtFulLife,1186353,Fred,Northwest District,45.52943,-122.69761000000001,Entire home/apt,57,123,2
715685,"North East Alberta Arts Queen Size w/
Memory Foam",2200710,Laurent,King,45.55871,-122.65823,Private room,50,461,2
717084,Near OHSU! Pristine Bdrm/Private Vanity/Close-In,3190134,Jen,Hillsdale,45.486940000000004,-122.69223000000001,Private room,78,7,2
720796,SOUTH TABOR COTTAGE,3721183,Lisa,South Tabor,45.50375,-122.6008,Entire home/apt,65,628,1
748584,Modern House with Japanese Garden,3092836,Morgan,South Burlingame,45.46622,-122.68863999999999,Private room,50,53,1
758814,"Between ""hip and home"" (and park!)",3493601,Sandi,Arbor Lodge,45.57286,-122.69398000000001,Private room,75,133,1
760737,Remodeled basement studio in central Portland,2646777,Kyle,Buckman,45.5203,-122.64255,Entire home/apt,80,90,1
762386,"Urban treehouse in Portland, OR!",416155,Brad & Becca,Creston-Kenilworth,45.49103,-122.62045,Private room,78,778,1
772835,"Clinton Street Comfy, Urban Oasis 1",4077911,Larry,Richmond,45.505109999999995,-122.63071000000001,Private room,59,205,2
773172,NW Nob Hill Getaway,1001311,Alleyn,Northwest District,45.53285,-122.70631000000002,Entire home/apt,165,310,4
774924,Visit Portland w/Pets or Kids; sunny suite in NE!,3622006,Lee Ann,Grant Park,45.541129999999995,-122.62643,Entire home/apt,135,58,1
775426,Modern & Beautiful House Centrally Located in Vibrant Alberta Arts District,1150082,Michelle,King,45.55847,-122.6508,Entire home/apt,358,152,6
778346,Downtown NW Condo on Streetcar Line,444503,Olivia,Northwest District,45.530440000000006,-122.69129,Entire home/apt,63,19,1
784126,"Portland condo near OHSU, VA Hospital & downtown!",4134978,Huma,Homestead,45.496320000000004,-122.6899,Entire home/apt,75,43,1
784952,Overlook Mid-Century Apartment,3159169,Reenie,Overlook,45.5625,-122.68794,Entire home/apt,80,252,2
789798,"Artsy, private lower level, close to downtown",4161754,Rhonda & Doug,Ashcreek,45.45568,-122.73827,Entire home/apt,78,142,1
798113,Kinley Manor Coach House Experience,4203145,Rupert Kinnard,Irvington,45.5363,-122.65548999999999,Entire home/apt,150,113,2
801318,"Ideally Located, Modern & Artistic Large House ~ Perfect for Groups",1150082,Michelle,King,45.55966,-122.65155,Entire home/apt,484,63,6
816398,Sweet and quiet Irvington Duplex,4084497,Gary,Irvington,45.54412,-122.65683999999999,Entire home/apt,84,98,1
838961,Studio Apartment - Private Entry,4382924,Reggie,Parkrose Heights,45.54551,-122.54518,Private room,69,22,1
850325,Historic Dist: Walk Downtown & OHSU,991471,Jan,South Portland,45.49631,-122.67626000000001,Private room,72,106,1
857046,"Lg Spacious Room, FUN Alberta Arts",501715,Teresa,Sabin,45.5565,-122.64826000000001,Private room,30,30,5
857220,"Spacious, Comfy Basement Suite",4440080,Lori 'N Podji,Foster-Powell,45.492779999999996,-122.58294,Private room,59,255,1
870827,NW Nob Hill Garden Cottage,1001311,Alleyn,Northwest District,45.53291,-122.70751000000001,Entire home/apt,95,553,4
871985,Beautiful Alberta Arts District Apt,3528646,Aysha,Sabin,45.55663,-122.64955,Entire home/apt,110,422,1
882150,Northeast Vintage Hideout with Hot Tub & Gardens!,4667131,Nick,Roseway,45.549040000000005,-122.58215,Entire home/apt,99,162,1
885006,SW Room w/ sweet Dalmatian co-host & EV Charger,4688334,Gina,Multnomah,45.46352,-122.70938000000001,Private room,42,305,2
902805,★Deluxe Charmer Great Location! 5 Bedroom!★,4825949,Kara And James,Ashcreek,45.45535,-122.73311000000001,Entire home/apt,350,38,1
921586,Mid-Century House in SW Portland,4955213,Tim,South Burlingame,45.46645,-122.68438,Entire home/apt,150,4,1
921597,Pearl District Loft: Urban Oasis,4955336,BettyLou,Pearl,45.53085,-122.68462,Entire home/apt,99,12,1
927432,"Spacious, charming, & well-located Portland house",1916182,Alexis,Humboldt,45.56317,-122.67034,Entire home/apt,149,8,1
938257,Pink House off Mississippi-ask for DEALS 4-6nights,1515905,Rick,Boise,45.549620000000004,-122.67387,Entire home/apt,108,445,2
938283,Green House Mississippi-ask for DEALS on 4-6nights,1515905,Rick,Boise,45.54878,-122.67522,Entire home/apt,101,458,2
942885,Simple and Spacious on NW 23rd ,5097860,Max,Northwest District,45.5275,-122.7005,Entire home/apt,400,155,1
951387,Quiet Private Studio in Inner NE near Bus & Bike,5161731,Deborah & Ludger,Boise,45.55387,-122.66625,Entire home/apt,74,412,1
958634,Spacious Private Suite for Extended Stays,5216499,Allison,South Tabor,45.50251,-122.58143999999999,Private room,39,20,1
962678,Charming Bright Bungalow On Hawthorne,5231057,Clay,Mt. Tabor,45.51188,-122.60881,Entire home/apt,225,42,1
967959,Authentic Alberta Arts Abode,1507209,Penelope And Nathan,King,45.55805,-122.65608,Entire home/apt,125,486,1
979746,Apartment in Beautiful NW Portland,5362674,Jacek,Northwest District,45.5294,-122.69724,Entire home/apt,102,343,1
985183,Exquisite 1 Bedroom Apt NE PDX,3519465,Carolina,Irvington,45.53631,-122.6482,Entire home/apt,85,68,2
993073,PDX Eco Cottage Guesthouse,5455260,Susan,Hosford-Abernethy,45.50685,-122.64898000000001,Entire home/apt,145,239,2
997150,Lovely Laurelhurst Craftsman Apt,3041678,Cora,Buckman,45.52167,-122.63846000000001,Entire home/apt,85,317,2
1003617,The Portland Villa on Alberta St,4430753,Catie,Concordia,45.557829999999996,-122.63651000000002,Entire home/apt,400,164,1
1006381,Mid Century Modern,4246850,Daniel,King,45.56378,-122.6616,Entire home/apt,109,95,2
1007277,Feels Like Home,3978304,Anthony,Woodstock,45.4892,-122.62098,Entire home/apt,60,365,1
1009218,Perfect SE Location: Classic Portland Experience,1284016,Stacey,Buckman,45.52275,-122.64911000000001,Entire home/apt,95,111,1
1011906,"Shaman Perch
Best View In Portland",5566717,Enrique,Goose Hollow,45.51526,-122.69344,Entire home/apt,95,156,1
1028153,Private Room - Historic Kenton Area,5658275,Ryan,Kenton,45.57955,-122.68668000000001,Private room,55,63,1
1036774,"""The Portland Purple House 1""",5707629,Arlene & Jeff,Roseway,45.55193,-122.59341,Private room,40,28,2
1046001,Alberta Arts Custom Basement Room,2236909,Shane,King,45.56138,-122.65826000000001,Private room,37,69,5
1051919,Spacious & Private: 420 & LGBTQ Friendly,4456464,Maylene & Charity,Kenton,45.58123,-122.68553,Private room,49,385,3
1056736,Euro/Modern studio w/ kitchen & private entry,5820535,Scott,Hillside,45.52427,-122.70851,Entire home/apt,90,127,1
1063635,Quiet bedroom near Hawthorne District,5742402,Mark,Richmond,45.50951,-122.6311,Private room,65,86,1
1074561,Mid-Century Modern Concordia Home!,315059,Anna,Concordia,45.5719,-122.63843,Entire home/apt,90,87,2
1086146,Spacious Urban Retreat,5970172,Dj,Parkrose,45.557990000000004,-122.55755,Entire home/apt,225,125,1
1092552,Goose Hollow Studio,6002476,Dave,Goose Hollow,45.51892,-122.69391,Entire home/apt,135,452,1
1100793,"Family Friendly, Walk to train, parks, everything",496929,Sam,Sellwood-Moreland Improvement League,45.47929,-122.64483,Entire home/apt,150,12,1
1103529,The Hen House: Private unit in NE,6060622,Norah,King,45.550129999999996,-122.65881999999999,Entire home/apt,75,383,2
1107789,Cozy Portland Studio Apartment,6000443,Cara,Buckman,45.52114,-122.64478000000001,Entire home/apt,60,521,1
1119763,Maple Cottage PDX/ Fun Historic Mississippi Ave.,2749411,Mariah,Boise,45.553509999999996,-122.67402,Entire home/apt,65,154,1
1123780,Airport~Private Entrance,2946939,Jennifer,Cully,45.55857,-122.61983000000001,Private room,50,268,2
1124057,"Airport~Portlandia's ""Rent It Out"" House",2946939,Jennifer,Cully,45.561440000000005,-122.62007,Private room,57,413,2
1125125,Family home nestled in Alameda,2981315,Max,Alameda,45.549890000000005,-122.63581,Entire home/apt,250,21,1
1129330,Spacious Modern Montavilla Studio,215610,Elizabeth,Montavilla,45.51271,-122.57043,Entire home/apt,65,7,1
1132421,"Secluded backyard cottage in N. PDX, Long-term",6211875,Noah,Piedmont,45.57645,-122.66545,Entire home/apt,60,326,1
1135861,Attunement Permaculture Guesthaus,213921,Joelle,Overlook,45.55662,-122.68386000000001,Entire home/apt,180,54,1
1139014,NE IRVINGTON 1926 CHARMING BUNGALOW,5513212,Danielle,Irvington,45.54275,-122.65717,Entire home/apt,200,13,1
1151857,"Bright & Spacious, Opal 28 Queen Suite #2",6313800,Margot,Kerns,45.52572,-122.6377,Entire home/apt,130,98,8
1160142,Stonebear Inn Studio,5895079,Renee,Roseway,45.55109,-122.59924,Entire home/apt,60,434,1
1170813,Private large studio apartment.  ,2513602,Jeannette,Cully,45.55942,-122.6166,Entire home/apt,110,380,2
1171356,Yellow room in Woodstock with central air con!,190651,Shannon,Woodstock,45.47937,-122.6065,Private room,55,307,2
1171875,Orange room w/Queen bed and central air con!,190651,Shannon,Woodstock,45.47945,-122.6043,Private room,55,264,2
1193068,Rosie Room at Farmhouse Cottage,1996078,Sally K,Marshall Park,45.4572,-122.68988,Private room,85,9,3
1194120,Cozy Hawthorne Hideaway-2 BD,6525571,Kathy,Hosford-Abernethy,45.509679999999996,-122.65247,Entire home/apt,149,330,1
1194370,Cozy mud hut with big bridge view,6526820,Ivy,Cathedral Park,45.59175,-122.76066000000002,Private room,69,498,1
1194589,Artisan Sanctuary,5927807,Margo,Humboldt,45.5608,-122.67,Entire home/apt,59,396,1
1209612,"WATERFRONT, NW  DISTRICT CONDO",6510017,Irene & Steve,Old Town/Chinatown,45.52667,-122.67218999999999,Entire home/apt,1500,64,1
1210309,Spacious room in close-in SE,500988,Amy,Creston-Kenilworth,45.49167,-122.63276,Private room,52,254,3
1212986,Whole House  w/  Patio,6379380,Julio,Mt. Scott-Arleta,45.47835,-122.59700000000001,Entire home/apt,75,32,2
1213052,Alberta Arts Bungalow - 4 Bedroom,6621964,Amy,King,45.55713,-122.65191000000002,Entire home/apt,325,163,1
1221078,"Raven's Nest, SE PDX 2 BR Retreat",6655028,Vince,Richmond,45.50338,-122.61815,Entire home/apt,128,399,1
1226994,NE Old Charm w/Modern Conveniences,6692974,Paul & Mandie,Piedmont,45.5734,-122.66297,Entire home/apt,115,158,18
1229300,NW/PEARL PDX CONDO,6705774,Melinda,Northwest District,45.52393,-122.68715,Entire home/apt,140,200,1
1232883,"Quick Getaway? Jetted Tub, LGBTQ & 420 Friendly",4456464,Maylene & Charity,Kenton,45.58036,-122.68813999999999,Entire home/apt,75,303,3
1233252,NE Garden Level/Modern Conveniences,6692974,Paul & Mandie,Piedmont,45.573809999999995,-122.66261999999999,Entire home/apt,100,94,18
1239809,"Cozy, Quiet& Charming w/private bath!",6757935,Dev,King,45.56272,-122.65663,Private room,54,18,1
