id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36670794,Walkable PET friendly Irvington Apartment!,61699098,Shelby,,Eliot,45.54475,-122.66059,Entire home/apt,135,30,28,2019-12-30,5.15,1,22
36673035,Private Room w/ HOT TUB (A),192117374,Clarissa,,Overlook,45.56203,-122.69865,Private room,55,30,2,2019-09-22,0.55,2,0
36701090,Comfort!!   King room/Downtown/pearl,231707604,Dean,,Pearl,45.52741,-122.68382,Private room,55,1,29,2019-12-15,5.30,3,44
36701278,Large room!! Private Bath!! King Bed!!  Pearl Dist,231707604,Dean,,Pearl,45.53083,-122.68349,Private room,65,1,22,2019-11-26,4.18,3,47
36710607,Quiet home in SE PDX - Private room with bathroom,136753729,Michelle,,Mt. Scott-Arleta,45.47788,-122.5807,Private room,32,1,16,2019-12-15,3.97,1,89
36732975,Comfy Space @ PDX,273587209,Judy,,Powellhurst-Gilbert,45.48538,-122.54721,Entire home/apt,65,1,9,2019-11-30,1.66,1,127
36760786,"Little Darling, Bungalow - Italian room",324438,Stephanie,,Brentwood-Darlington,45.47104,-122.5864,Private room,50,2,1,2019-08-31,0.24,3,174
36769075,St. Johns Cozy Getaway Suite! (2BD/1BA),23832158,Kevin & Katelynn,,Portsmouth,45.5928,-122.72337,Entire home/apt,120,2,13,2019-12-26,2.69,1,170
36777591,Dreamer #6–Just Steps from the Max,6692974,Paul & Mandie,,Kenton,45.58351,-122.68238,Entire home/apt,125,30,0,,,18,355
36777641,"Stylish 2 Bedroom Condo,  Minutes From City Center",36310488,Stephen,,South Portland,45.48517,-122.67889,Entire home/apt,169,2,7,2019-10-16,1.45,1,0
36777968,Artist #2–Just Steps from the Max,6692974,Paul & Mandie,,Kenton,45.58489,-122.68459,Entire home/apt,95,30,1,2019-09-16,0.28,18,306
36778341,Strategist-Just Steps from the Max,6692974,Paul & Mandie,,Kenton,45.58332,-122.68397,Entire home/apt,95,30,2,2019-11-26,0.49,18,340
36803396,Hillside Guest House with a View!,144130217,Norm,,South Portland,45.46952,-122.67385,Entire home/apt,66,1,29,2019-12-31,6.64,2,151
36804977,Welcome to TaborVilla!,11181087,Signe,,Montavilla,45.50911,-122.57618,Entire home/apt,60,1,52,2019-12-31,10.99,1,56
36831192,Modern + Private Sellwood Apt Close To Downtown,36442855,Stephy,,Sellwood-Moreland Improvement League,45.48195,-122.64871,Entire home/apt,150,2,22,2019-12-23,5.28,1,50
36833960,Forget your troubles in this City Oasis,97431912,Tamara And Casey,,Rose City Park,45.5304,-122.60119,Private room,49,30,6,2019-10-13,1.54,1,0
36835498,Portland Artist's House - Glamp in the 1967 Siesta,8977925,James,,St. Johns,45.5986,-122.75463,Entire home/apt,53,3,5,2019-10-21,1.22,5,335
36835638,Portland Artist's House - Room 3 - Pet Friendly!,8977925,James,,St. Johns,45.59991,-122.75381,Private room,49,2,6,2019-11-05,1.18,5,329
36836282,Charming Studio Near Great Food and Shopping,147708508,Deborah,,Sunnyside,45.51494,-122.63413,Entire home/apt,94,1,19,2019-11-18,3.75,1,171
36841320,Chef's dream in the center of Portland!,160182262,Liv,,Buckman,45.51643,-122.65418,Entire home/apt,250,30,0,,,1,171
36845712,Comfortable Room in Stunning Mid-Century Home,1672748,Jamie,,Parkrose Heights,45.5421,-122.55347,Private room,100,30,1,2019-07-20,0.18,2,29
36846122,Crash pad,40722666,Matthew,,Parkrose,45.54891,-122.55414,Private room,45,1,44,2019-12-29,8.20,1,19
36850421,Urban Cabin Oasis with Hot Tub!,18796965,Sara,,Woodlawn,45.57726,-122.66113,Entire home/apt,225,3,19,2019-12-27,3.96,1,44
36874629,Two elegant private bedrooms near Reed College,5341424,Sue,,Reed,45.48472,-122.62792,Private room,60,1,2,2019-09-29,0.37,3,244
36876587,2 bedroom Clinton/Division apartment,5237519,Lee,,Hosford-Abernethy,45.49856,-122.6367,Entire home/apt,120,30,4,2019-08-24,0.77,1,83
36878283,Classic Portland Home Near Alberta! Walk Score 91!,218952334,Stay,,King,45.56303,-122.65668,Entire home/apt,199,2,6,2019-12-20,1.54,18,90
36881772,"Stylish Deluxe Home, PRIME Location! 93 walk score",22860486,George,,Buckman,45.52277,-122.64876,Entire home/apt,143,2,28,2019-12-26,5.92,1,58
36888047,Rocky Butte Hillside #4 (Shared/Top bunk),137895175,Drakken,,Madison South,45.54513,-122.56964,Shared room,30,1,5,2019-11-13,1.04,4,365
36902920,A Weekend Getaway LilTravelDepot-BlueSuite,20282510,Gabrielle,,South Tabor,45.50324,-122.59329,Private room,45,2,6,2019-11-10,1.75,2,0
36914309,Brand new PDX cottage great for long-term stays!,28527208,Shanda,,Roseway,45.55458,-122.59824,Entire home/apt,80,30,0,,,1,114
36915010,Bright backyard and bungalow in SE Portland,12273275,Naomi,,Montavilla,45.51742,-122.57404,Entire home/apt,75,1,4,2019-10-20,0.79,1,0
36915482,Private Suite with Backyard Oasis,54876000,Tekla,,Brentwood-Darlington,45.47486,-122.59176,Private room,85,1,5,2019-10-13,1.10,1,85
36915910,"The Jetsons Suite, Modern Space Age Luxury",277469516,Michael,,Rose City Park,45.54308,-122.60058,Entire home/apt,69,1,34,2019-12-30,6.46,1,267
36947517,"Airy, Modern Guesthouse in Peaceful N. Portland",206707976,Sara,,Portsmouth,45.58256,-122.70846,Entire home/apt,70,2,21,2019-12-30,3.96,1,89
36948215,Belmont Getaway,159041849,Sam,,Sunnyside,45.51665,-122.62521,Entire home/apt,89,1,26,2019-12-30,4.88,1,362
36972349,Dolph Park apartment; a rare find!,5924309,Carolyn,,Grant Park,45.53825,-122.63793,Entire home/apt,125,30,4,2019-10-08,0.80,1,275
36975799,Blue Fopo House Upstairs Bedrooms,19252862,Kelly,,Foster-Powell,45.4971,-122.60384,Private room,48,2,2,2019-08-26,0.45,2,306
36977618,Spacious Basement Suite,33769719,Scott,,Creston-Kenilworth,45.49055,-122.61343,Private room,42,1,28,2019-12-30,5.53,1,99
37014597,Peaceful and Bright Cottage Retreat,77990596,Jodi,,Mt. Scott-Arleta,45.48112,-122.5947,Entire home/apt,89,2,9,2019-12-14,1.78,1,179
37017882,Private Downstairs Apartment in NE Alberta Arts!,167984420,Brynn,,Concordia,45.55834,-122.63406,Private room,70,1,19,2019-12-14,3.83,1,47
